Fish oil (from cod liver),A,25
Rosehip,C,650
Dried porcini mushrooms,B2,3
Сanned,A,5
Sunflower seeds (seeds),B1,2
Sunflower oil,E,44
Sea buckthorn,C,200
Parsley (greens),C,150
Sweet pepper (bulgarian),C,200
Almond,E,25
Mayonnaise,E,30
Black currant,C,200
Egg powder,A,1
Hazelnut,E,21
Rowan red,A,2
Kiwi,C,180
Peanut,E,10
Dill (greens),C,100
Wheat bran,E,11
Carrot,A,2
Boiled carrots,A,2
Acne,A,1
Spinach (greens),A,1
Creamy margarine,E,20
Broccoli,C,89
Brussels sprouts,C,100
Sesame,B1,2
Red granular caviar,A,1
Peanut butter,E,17
Dandelion leaves (greens),C,35
Watercress (greens),C,69
Chicken egg yolk,E,2
Powdered non-fat milk,B2,2
Black granular caviar,E,4
Dried apricots,E,6
Dried apricots,E,6
Pine nut,E,9
Mackerel in oil (canned food),E,9
Powdered milk 15%,C,4
Powdered milk 25%,C,4
Celery (greens),C,35
Soybeans (grain),B1,1
Sorrel (greens),C,43
Dry cream 42%,C,3
Cashew,E,6
Tomato paste,C,45
Sprats in oil (canned food),E,9
Olive oil,E,12
Cauliflower,C,70
Cilantro (greens),C,27
Quail egg,E,1
Porcini mushrooms,C,30
Pollock roe,E,2
Chanterelles,C,34
Tuna,B1,1
Peas (shelled),B1,1
Pistachios,C,4
Wheat flour,E,3
Wheat (grain soft grade),E,4
Oat bran,B1,1
Mackerel,E,2
Leek,C,35
Dried peach,E,6
Wheat (grain. hard grade),E,3
Atlantic salmon (salmon),E,2
Papaya,C,61
"Cheese ""Swiss"" 50%",C,1
Acidophilus 1%,C,1
Acidophilus 3.2%,C,1
Acidophilus 3.2% sweet,C,1
Low-fat acidophilus,C,1
Cheese (from cow's milk),C,1
Varenets 2.5%,C,1
Chicken egg yolk,E,2
Low-fat cottage cheese casserole,E,1
Yogurt 1.5%,C,1
Yogurt 1.5% fruit and berry,C,1
Yogurt 3.2%,C,1
Yogurt 3.2% sweet,C,1
Yogurt 6%,C,1
Yogurt 6% sweet,C,1
Kefir 1%,C,1
Kefir 2.5%,C,1
Kefir 3.2%,C,1
Low-fat kefir,C,1
Kumis (from mare's milk),C,9
Low-fat koumiss (from cow's milk),C,1
Curd mass 16.5% fat,C,1
Milk 1.5%,C,1
Milk 2.5%,C,1
Beet,C,1
Milk 3.5%,C,1
Goat milk,C,1
Low-fat milk,C,1
Condensed milk with sugar 5%,C,1
Condensed milk with sugar 8.5%,C,1
Condensed milk with sugar,C,1
Powdered milk 15%,C,4
Powdered milk 25%,C,4
Powdered non-fat milk,C,4
Ice cream sundae,E,1
Ice cream creamy,E,1
Omelet,C,4
Buttermilk,C,1
Sour milk 1%,C,1
Sour milk 2.5%,C,1
Sour milk 3.2%,C,1
Low-fat curdled milk,C,1
Ryazhenka 1%,C,1
Ryazhenka 2.5%,C,1
Ryazhenka 4%,C,1
Ryazhenka 6%,C,1
Cream 10%,C,1
Cream 20%,E,1
Cream 25%,E,1
Cream 35%,E,1
Cream 8%,E,1
Condensed cream with sugar 19%,C,1
Dry cream 42%,B2,1
Sour cream 10%,C,1
Sour cream 15%,C,1
Sour cream 20%,E,1
Sour cream 25%,E,1
Sour cream 30%,E,1
"Cheese ""Adyghe""",B2,1
Dutch cheese 45%,C,1
Camembert cheese,C,1
Parmesan cheese,B2,1
"Cheese ""Poshekhonskiy"" 45%",C,1
Roquefort cheese 50%,C,1
"Cheese ""Russian"" 50%",C,1
Sulguni cheese,C,1
Chees Feta,C,1
Cheddar cheese 50%,C,1
"Cheese ""Swiss"" 50%",C,1
Gouda cheese,C,1
Low-fat cheese,C,1
"Processed cheese ""Sausage""",C,1
"Processed cheese ""Russian""",C,1
Glazed curds 27.7% fat,C,1
Low-fat cottage cheese pancakes,E,1
Curd 11%,C,1
Cottage cheese 18% (fat),C,1
Curd 2%,B2,1
Curd 4%,C,1
Curd 5%,C,1
Curd 9% (bold),C,1
Low-fat cottage cheese,C,1
Fried eggs,E,4
Egg powder,B2,2
Chicken egg,E,1
Quail egg,E,1
Egg with mayonnaise,E,10
Butter bagels,E,4
Sliced ​​loaf,E,2
Pancakes,E,2
City rolls,E,2
High calorie bun,E,1
Peas (shelled),B1,1
Green peas (fresh),C,25
Buckwheat (grain),E,1
Green peas (canned food),C,10
Buckwheat groats (done),E,1
Buckwheat groats (unground),E,1
Corn groats,E,1
Semolina,E,2
Oat groats,E,2
Pearl barley,B5,1
Wheat groats,E,2
Millet groats (polished),B1,1
Rice,E,1
Barley groats,E,2
Canned corn,C,5
Sweet corn,C,7
Homemade noodles,C,2
Noodles with cottage cheese,E,2
1 grade flour pasta,E,2
Premium flour pasta,E,2
Boiled pasta,E,1
Egg pasta,E,2
Baked pasta with egg,E,1
Buckwheat flour,E,1
Corn flour,E,1
Oat flour,E,2
Oat flour (oatmeal),E,2
Wheat flour 1 grade,E,2
Wheat flour 2 grades,E,4
Wheat flour 1 ,E,2
Wheat flour,E,3
Peeled rye flour,E,2
Rye wallpaper flour,E,2
Seeded rye flour,E,1
Rice flour,B1,1
Oats (grain),E,2
Wheat (grain. soft grade),E,3
Wheat (grain. hard grade),E,4
Rice (grain),E,1
Rye (grain),E,3
Soybeans (grain),B1,1
Beans (grain),B1,1
Green beans),C,20
Borodinsky bread,E,1
Grain bread,E,2
Hearth bread (made from 1st grade flour),E,1
Wheat bread (from 1 grade flour),E,1
Wheat bread (from premium flour),E,1
Wheat bread (from wallpaper flour),E,1
Riga bread,E,1
Ukrainian bread,E,1
Whole grain bread,E,1
Bread with bran,E,2
"Oat flakes ""Hercules""",E,2
Lentils (grain),B1,1
Barley (grain),E,2
Peanut,E,11
Walnut,E,3
Dried acorns,B1,1
Pine nut,E,10
Cashew,E,6
Sesame,E,3
Almond,E,25
Sunflower seeds (seeds),E,31
Pistachios,E,3
Hazelnut,E,21
Apricot,C,10
Avocado,C,10
Quince,C,23
Cherry plum,C,13
A pineapple,C,20
Orange,C,60
Watermelon,C,7
Basil (herbs),C,18
Eggplant,C,5
Banana,B6,1
Borscht,C,5
Fresh cabbage and potato borscht,C,4
Lingonberry,C,15
Swede,C,30
Strawberry jam,C,8
Raspberry jam,C,7
Grapes,C,6
Cherry,C,15
Blueberry,C,20
Garnet,C,4
Grapefruit,C,45
Pear,C,5
Dried pear,C,8
Potato pancakes,C,13
Durian,C,20
Melon,C,20
Blackberry,C,15
Strawberry,C,60
Potato zrazy,C,3
Raisins,C,1
Ginger (root),C,5
Fresh figs,C,2
Dried figs,B2,1
Zucchini,C,15
White cabbage,C,45
Broccoli,B5,1
Brussels sprouts,C,100
Sauerkraut,C,30
Kohlrabi cabbage,C,50
Red cabbage,C,27
Cabbage,C,60
Savoy cabbage,C,5
Cauliflower,C,70
Boiled cauliflower,C,41
Fried cauliflower,C,29
Potatoes,C,20
Boiled potatoes,E,14
Fried potato,E,13
Dried potatoes,C,7
Stewed potatoes with mushrooms,E,5
Kiwi,C,180
Cilantro (greens),C,27
Cranberry,C,15
Cabbage cutlets,C,23
Potato cutlets,C,3
Watercress (greens),C,69
Gooseberry,C,30
Dried apricots,E,6
Lemon,C,40
Dandelion leaves (greens),C,35
Burdock (root),C,3
Fried onions,C,9
Green onion (feather),C,30
Pickled onions,C,8
Leek,C,35
Turnip onion,C,10
Bulb onions,C,10
Raspberries,C,25
Mango,C,36
Mandarin,C,38
Mary white (green),C,80
Carrot,A,2
Boiled carrots,A,2
Cloudberry,C,29
Seaweed,C,2
Nectarine,C,5
Sea buckthorn,C,200
Cucumber,C,10
Pickles,C,5
Vegetable okroshka,C,6
Pumpkin pancakes,C,2
Papaya,C,61
Fern,C,27
Parsnip (root),C,20
Sweet pepper (bulgarian),C,200
Pepper stuffed with vegetables,C,51
Peach,C,10
Dried peach,E,6
Parsley (greens),C,150
Parsley (root),C,35
Pomelo,C,61
Tomato (tomato),C,10
Mashed potatoes,C,4
Rhubarb (greens),C,10
Radish,C,25
Black radish,C,29
Turnip,C,20
Rowan red,C,70
Rowan chokeberry,C,15
Leaf lettuce (greens),C,35
Beet,C,10
Boiled beets,C,9
Beetroot stew,E,1
Cold beetroot,C,3
Celery (greens),C,38
Celery (root),C,8
Plum,C,10
White currant,C,40
Red currants,C,25
Black currant,C,200
Asparagus (greens),C,20
Tomato paste,C,45
Jerusalem artichoke,C,6
Pumpkin,C,8
Dill (greens),C,100
Dried apricots,E,6
Feijoa,C,33
Dates,B1,1
Horseradish (root),C,55
Persimmon,C,15
Sweet cherry,C,15
Blueberry,C,10
Prunes,C,3
Garlic,C,10
Rosehip,C,650
Cabbage schnitzel,C,11
Spinach,C,55
Sorrel,C,43
Apples,C,10
Champignon,C,7
Apricot juice,C,4
Orange juice,C,11
Lemon juice,C,50
Carrot juice,C,3
Tomato juice,C,10
Apple juice,C,2
Cocoa powder,C,2
Honey,B2,1
Сhocolate,B2,1
Chicken,B3,8
Beef,B3,6
Turkey,B3,8
Beef liver,B3,13
Salmon,B3,8
Ham,B3,3
White bread,B3,6
Pork,B3,8
Ground beef,B3,4
Chicken egg,B5,2
Paprika,E,30
Thyme,C,50
Iceberg lettuce,C,3
Olives,E,4
Couscous,B5,2
Fat herring,D,1
Keta,D,1
Mackerel,D,1
Atlantic salmon,D,1
Pink salmon,D,1
Tuna fich,D,1
Chanterelle mushrooms,D,1
Morek mushroom,D,1
Flounder,D,1
Pike,D,1
Quail egg,D,1
Butter,D,1
Pistachios,B5,1
Potato starch,C,4
Mackerel,B5,1
Peanut,B6,1
Mutton,B6,1
Chile,C,1